Date,Stretched,Cardio/VR Workout,Tonal Workout,Went to a Class (Gym),Brush Teeth,Cleaned Room,Read / Audiobook,Listened to Music,Walked Outside,Hair Cream,Teeth Whitener,Showered,Cold Shower,Worked on Self Project,Played with Dogs,Called Parents,Talked with Friends,Played Smash,Drank Alcohol,Shopping Purchase,Eating Out,Played Videogames Solo,Played Videogames DKE,Energy Score (Today),Sleep Score (Previous Night),Steps,Tried Something New,New Thing,Most Memorable,Priority 1,Priority 2,Priority 3
"Friday, March 14, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,80,"4,053",TRUE,got my first fake/sunless tan,"I saw myself on video chat and I looked like a pale ghost. now I don't, but the tan smell was pretty overwhelming. 5/10 may not try again. I do have a few session tho",plan next actual vacation,get tanned,hit some golf balls
"Saturday, March 15, ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,81,91,"6,567",FALSE,,went to two Foot Lockers. In the same mall. Why does that exist?,finish garage. start on basement.,take Locke to dog park,get haircut
"Sunday, March 16, ",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,78,74,"8,864",FALSE,,I'm writing this in hindsight (Monday) but I woke up in a huge funk and I think I was depressed starting Sunday. we didn't do anything or see anyone + we packed all weekend and I think I had stress about my work. working out didn't help. I'll have to figure out how to reset better.,finish garage. start on basement. look for CDs and find wan Santo condo,do something nice and unexpected for Libby,seriously. start a company.
"Monday, March 17, ",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,87,88,"6,589",TRUE,boxing class,today sucked for the most part UNTIL boxing. it REALLY cleared my mind and helped me unwind and de-stress.,try boxing,get steps ,figure out plan with the boys
"Tuesday, March 18, ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,80,79,"3,808",FALSE,,came home and slammed into a wall of exhaustion - I think Dez is slowly ruining our lives. he keeps getting up in the middle of the night.,continue to work out every day this week,blow out garage,make contact with Kendrick
"Wednesday, March 19, ",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,86,90,"4,004",FALSE,,dentists around here suck.,small workout,finish str shit,ping Mike Negri
"Thursday, March 20, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,,,
"Friday, March 21, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,,,
"Saturday, March 22, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,,,
"Sunday, March 23, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,,,
